#metadataBlock	name	dataverseAlias	displayName												
	heal		HEAL metadata schema												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
	metadata_location	HEAL metadata			none	0		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		heal
	clinical_trials_study_ID	ClinicalTrials.gov Study ID	ClinicalTrials.gov study ID; only applicable if study is a reportable clinical trial and registered on ClinicalTrials.gov.		text	1		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	metadata_location	heal
	cedar_study_level_metadata_template_instance_ID	CEDAR Study-level Metadata Template Instance ID	ID of the CEDAR HEAL Study-level Core Metadata Template instance created for this study.		text	2		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	metadata_location	heal
	data_repositories	Data repositories	Describe the data repositories to which data or other shareable products produced by the study will be submitted by the study authors and stored for long-term access; one item in this array per repository		none	3		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE		heal
	repository_name	Name of Repository	Name of a repository in which data or other shareable research products are submitted for storage by study author		text	4		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	data_repositories	heal
	repository_study_ID	Study ID assigned by Repository	Unique identifier assigned to the study at that repository; usually a number or combination of standard letters and numbers (e.g. study identifiers on ClinicalTrials.gov are generally in the format: NCT12345678)		text	5		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	data_repositories	heal
	repository_persistent_ID	Repository-branded Study Persistent Identifier	Unique persistent identifier assigned to the study at that repository; usually a doi		text	6		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	data_repositories	heal
	repository_citation	Study citation at Repository	The official citation the repository requests be used to cite the study/data when the study/data is discovered/accessed via the repository; will likely follow the format: Principal Investigator(s). Title. Place-of-Distribution and Distributor, Date-of-Distribution. DOI. version (where distributor will be the repository name)		text	7		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	data_repositories	heal
	heal_citation	HEAL citation			none	8		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		heal
	study_collections	Name of the study group or collection(s) to which this study belongs	If this study belongs to a study group or collection(s), this is the name or identifier of the study group or collection(s) (e.g. SAMHSA performs a survey called the National Survey of Substance Abuse Treatment Services (N-SSATS) every year; each annual survey may be registered as a separate study that belongs to a collection called the N-SSATS collection).		textbox	9		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	heal_citation	heal
	heal_platform_persistent_ID	HEAL-branded Study Persistent Identifier	Persistent identifier assigned to the study on the HEAL Platform; probably a HEAL Platform-branded doi.		text	10		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	heal_citation	heal
	heal_platform_citation	Study citation on HEAL Platform	The official citation the HEAL Platform will request be used to cite the study/data when the study/data is discovered/accessed via the Platform; will likely follow the format: Principal Investigator(s). Title. Place-of-Distribution and Distributor, Date-of-Distribution. DOI. version (where distributor will be: Platform via [Repository Name]).		text	11		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	heal_citation	heal
	heal_funded_status	Is this study HEAL-funded?	Whether or not the study is funded by the NIH HEAL initiative.		text	12	#NAME: #VALUE 	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	heal_citation	heal
	study_collection_status	Does this study belong to a study group or collection?	Whether or not the study is related to a study group or collection(s) by some administrative mechanism, or belongs to a group or collection of studies (e.g. SAMHSA performs a survey called the National Survey of Substance Abuse Treatment Services (N-SSATS) every year; each annual survey may be registered as a separate study that belongs to a collection called the N-SSATS collection).		text	13	#NAME: #VALUE 	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	heal_citation	heal
	registrants	HEAL platform registrant	Describe the person(s) who will register the study on the HEAL Platform. This person(s) must be authorized to access the study registration page/process on the HEAL Platform; will be auto-set as NIH contact PI(s) if NIH-funded; one item in this array per registrant. 		none	14		FALSE	FALSE	TRUE	FALSE	FALSE	TRUE		heal
	registrant_first_name	First name of study registrant	First name of study registrant		text	15		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	registrants	heal
	registrant_middle_initial	Middle initial of study registrant	Middle initial of study registrant		text	16		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	registrants	heal
	registrant_last_name	Last name of study registrant	Last name of study registrant		text	17		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	registrants	heal
	registrant_affiliation	Institutional affiliation of study registrant	Institutional affiliation of study registrant		text	18		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	registrants	heal
	registrant_email	Institutional email of study registrant	Institutional email of study registrant		email	19	#EMAIL	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	registrants	heal
	data_availability	Data availability			none	20		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		heal
	produce_data	Will the study collect or produce data?	Indicate whether or not the study will collect/produce (primary or secondary) data.		text	21	#NAME: #VALUE 	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	data_available	Will the study make data available?	If study will collect/produce data, indicate whether all, some, or none of the data will be made available.		text	22	#NAME: #VALUE 	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	data_restricted	Will available data have restrictions on access?	If study will collect/produce data, and make at least some of that data available, indicate whether all, some, or none of the data will have restriction(s) on access beyond acknowledgement and signing of a minimal DSA.		text	23	#NAME: #VALUE 	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	data_collection_status	Has data collection/production started?	If study will collect/produce data, indicate whether the study has not started, has started, or has finished data collection/production activities.		text	24	#NAME: #VALUE 	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	data_release_status	Has data release started?	If the study will collect/produce data and make at least some of the data available, indicate whether the study has not started, has started, or has finished data release activities.		text	25	#NAME: #VALUE 	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	data_release_start_date	Date when first data will be released(Anticipated)	If study will collect/produce data and make at least some of the data available, indicate the anticipated date when first data will be released.		date	26	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	data_release_finish_date	Date when last data will be released (Anticipated)	If study will produce data and make at least some of the data available, indicate the anticipated date when last data will be released (data release is complete).		date	27	#NAME: #VALUE 	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	produce_other	Indicate whether or not the study will produce shareable products other than data	Indicate whether or not the study will produce shareable products other than data		text	28		FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	data_availability	heal
	findings	Findings			none	29		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		heal
	primary_study_findings	Primary Study Findings	Simple, one-sentence take-away conclusion(s) from study author publications; one item in this array per single-sentence conclusion (e.g. item #1: Provision of MAT rx to men with documented OUD leaving jail reduces overdose risk by 9%; item #2: Provision of MAT rx plus case management support to men with documented OUD leaving jail reduces overdose risk by 30%; item 3: Provision of MAT rx plus case management support to men with documented OUD leaving jail is more effective than provision of MAT rx alone at reducing risk of OUD overdose). 		textbox	30		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	findings	heal
	secondary_publications	Secondary Publications DOI	List of the doi for any/all secondary study publications that use the study data; include any papers, books, articles, blog posts, etc. authored by persons OTHER THAN the investigators or team responsible for the study; one item in this array per publication/doi. 		textbox	31		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	findings	heal
